index,class
949,1
950,3
951,2
952,3
953,3
954,3
955,5
956,2
957,3
958,3
959,1
960,1
961,1
962,1
963,3
964,1
965,2
966,5
967,6
968,6
969,1
970,3
971,1
972,2
973,2
974,3
975,6
976,1
977,3
978,6
979,5
980,3
981,2
982,1
983,6
984,2
985,1
986,5
987,5
988,3
989,3
990,3
991,2
992,4
993,4
994,4
995,3
996,5
997,3
998,1
999,1
1000,1
1001,5
1002,3
1003,6
1004,1
1005,1
1006,1
1007,1
1008,1
1009,3
1010,2
1011,2
1012,1
1013,1
1014,2
1015,4
1016,2
1017,1
1018,5
1019,3
1020,5
1021,3
1022,4
1023,5
1024,4
1025,5
1026,3
1027,1
1028,2
1029,1
1030,3
1031,1
1032,1
1033,3
1034,3
1035,5
1036,3
1037,3
1038,5
1039,3
1040,1
1041,1
1042,3
1043,5
1044,3
1045,1
1046,4
1047,2
1048,1
1049,3
1050,1
1051,3
1052,3
1053,6
1054,2
1055,3
1056,1
1057,6
1058,1
1059,6
1060,4
1061,1
1062,2
1063,1
1064,1
1065,1
1066,1
1067,2
1068,6
1069,1
1070,2
1071,2
1072,1
1073,4
1074,2
1075,6
1076,2
1077,6
1078,3
1079,3
1080,2
1081,5
1082,2
1083,3
1084,5
1085,1
1086,6
1087,2
1088,1
1089,4
1090,3
1091,1
1092,1
1093,1
1094,3
1095,5
1096,2
1097,2
1098,2
1099,5
1100,2
1101,1
1102,3
1103,1
1104,2
1105,1
1106,2
1107,3
1108,5
1109,2
1110,6
1111,3
1112,2
1113,6
1114,1
1115,3
1116,3
1117,3
1118,2
1119,2
1120,1
1121,4
1122,1
1123,3
1124,3
1125,5
1126,3
1127,4
1128,3
1129,2
1130,2
1131,4
1132,3
1133,5
1134,6
1135,5
1136,3
1137,1
1138,4
1139,2
1140,4
1141,3
1142,1
1143,3
1144,3
1145,3
1146,2
1147,3
1148,2
1149,3
1150,1
1151,6
1152,6
1153,3
1154,4
1155,3
1156,2
1157,4
1158,3
1159,4
1160,6
1161,3
1162,2
1163,3
1164,1
1165,1
1166,3
1167,1
1168,1
1169,1
1170,1
1171,3
1172,1
1173,1
1174,3
1175,5
1176,1
1177,3
1178,3
1179,2
1180,2
1181,2
1182,1
1183,1
1184,1
1185,2
1186,3
1187,3
1188,4
1189,2
1190,2
1191,1
1192,3
1193,6
1194,5
1195,3
1196,1
1197,3
1198,3
1199,2
1200,3
1201,1
1202,3
1203,2
1204,5
1205,3
1206,1
1207,2
1208,1
1209,1
1210,1
1211,1
1212,3
1213,4
1214,2
1215,3
1216,1
1217,6
1218,4
1219,1
1220,2
1221,3
1222,3
1223,4
1224,3
1225,3
1226,2
1227,1
1228,1
1229,4
1230,6
1231,3
1232,1
1233,1
1234,1
1235,3
1236,1
1237,3
1238,5
1239,4
1240,3
1241,2
1242,3
1243,1
1244,3
1245,1
1246,2
1247,3
1248,1
1249,2
1250,3
1251,2
1252,1
1253,5
1254,2
1255,2
1256,1
1257,1
1258,1
1259,1
1260,2
1261,3
1262,1
1263,1
1264,1
1265,3
1266,4
1267,2
1268,3
1269,6
1270,1
1271,2
1272,6
1273,3
1274,4
1275,2
1276,6
1277,6
1278,4
1279,1
1280,3
1281,1
1282,3
1283,6
1284,1
1285,2
1286,4
1287,2
1288,1
1289,5
1290,3
1291,2
1292,6
1293,2
1294,3
1295,3
1296,4
1297,3
1298,2
1299,2
1300,3
1301,6
1302,5
1303,1
1304,2
1305,1
1306,4
1307,3
1308,5
1309,1
1310,3
1311,2
1312,2
1313,1
1314,5
1315,2
1316,4
1317,2
1318,2
1319,1
1320,6
1321,4
1322,2
1323,1
1324,6
1325,3
1326,2
1327,5
1328,3
1329,1
1330,1
1331,3
1332,1
1333,3
1334,4
1335,6
1336,3
1337,3
1338,2
1339,1
1340,1
1341,3
1342,3
1343,2
1344,4
1345,2
1346,1
1347,1
1348,1
1349,3
1350,1
1351,1
1352,1
1353,1
1354,2
1355,5
1356,2
1357,2
1358,1
1359,2
1360,5
1361,5
1362,1
1363,1
1364,1
1365,1
1366,6
1367,1
1368,5
1369,4
1370,3
1371,3
1372,3
1373,5
1374,2
1375,6
1376,3
1377,2
1378,3
1379,2
1380,2
1381,4
1382,3
1383,2
1384,3
1385,6
1386,2
1387,3
1388,1
1389,3
1390,3
1391,1
1392,3
1393,2
1394,3
1395,4
1396,1
1397,3
1398,3
1399,1
1400,1
1401,3
1402,6
1403,2
1404,1
1405,2
1406,3
1407,3
1408,1
1409,3
1410,1
1411,1
1412,4
1413,6
1414,2
1415,1
1416,1
1417,3
1418,3
1419,1
1420,1
1421,5
1422,3
1423,2
1424,1
1425,3
1426,1
1427,1
1428,2
1429,2
1430,1
1431,6
1432,2
1433,2
1434,3
1435,2
1436,5
1437,1
1438,3
1439,2
1440,3
1441,6
1442,1
1443,4
1444,1
1445,1
1446,3
1447,3
1448,1
1449,3
1450,1
1451,2
1452,3
1453,6
1454,5
1455,5
1456,3
1457,1
1458,3
1459,1
1460,3
1461,2
1462,3
1463,1
1464,1
1465,2
1466,2
